sample	Minutes	Temperature	Lifestyle	Identification	OD_avg	Genus
TS-001	1740	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00375	Apiotrichum
TS-001	1740	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	1770	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00412499999999999	Apiotrichum
TS-001	1770	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	1800	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00375	Apiotrichum
TS-001	1800	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	1830	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00412499999999999	Apiotrichum
TS-001	1830	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	1860	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00437499999999999	Apiotrichum
TS-001	1860	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	1890	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00412499999999999	Apiotrichum
TS-001	1890	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	1920	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00375	Apiotrichum
TS-001	1920	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	1950	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00387499999999999	Apiotrichum
TS-001	1950	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	1980	33 °C	Environmental	Apiotrichum akiyoshidainum	0.0035	Apiotrichum
TS-001	1980	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	2010	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00387499999999999	Apiotrichum
TS-001	2010	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	2040	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00387499999999999	Apiotrichum
TS-001	2040	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	2070	33 °C	Environmental	Apiotrichum akiyoshidainum	0.0035	Apiotrichum
TS-001	2070	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	2100	33 °C	Environmental	Apiotrichum akiyoshidainum	0.0035	Apiotrichum
TS-001	2100	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	2130	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00375	Apiotrichum
TS-001	2130	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	2160	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00375	Apiotrichum
TS-001	2160	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	2190	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00362499999999999	Apiotrichum
TS-001	2190	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	2220	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00375	Apiotrichum
TS-001	2220	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	2250	33 °C	Environmental	Apiotrichum akiyoshidainum	0.0035	Apiotrichum
TS-001	2250	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	2280	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00387499999999999	Apiotrichum
TS-001	2280	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	2310	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00362499999999999	Apiotrichum
TS-001	2310	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	2340	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00412499999999999	Apiotrichum
TS-001	2340	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	2370	33 °C	Environmental	Apiotrichum akiyoshidainum	0.0035	Apiotrichum
TS-001	2370	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	2400	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00375	Apiotrichum
TS-001	2400	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	2430	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00337499999999999	Apiotrichum
TS-001	2430	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	2460	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00325	Apiotrichum
TS-001	2460	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	2490	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00325	Apiotrichum
TS-001	2490	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
