sample	Temp	TimePoint	Day	Medium	Identification	OD	OD_min	OD_max	Genus	Lifestyle
TS-009	18 °C	T2	2	PD	Apiotrichum porosum	0.1290625	0.0980625	0.1850625	Apiotrichum	Environmental
TS-009	18 °C	T3	3	PD	Apiotrichum porosum	0.418375	0.256875	0.645875	Apiotrichum	Environmental
TS-009	18 °C	T4	4	PD	Apiotrichum porosum	0.559875	0.323375	0.859375	Apiotrichum	Environmental
TS-009	18 °C	T5	5	PD	Apiotrichum porosum	0.6746875	0.4014375	0.9864375	Apiotrichum	Environmental
TS-009	18 °C	T6	6	PD	Apiotrichum porosum	0.761125	0.471125	1.118125	Apiotrichum	Environmental
TS-009	18 °C	T7	7	PD	Apiotrichum porosum	0.847	0.532	1.218	Apiotrichum	Environmental
TS-009	23 °C	T0	0	PD	Apiotrichum porosum	0.0063125	0.0040625	0.0110625	Apiotrichum	Environmental
TS-009	23 °C	T1	1	PD	Apiotrichum porosum	0.034375	0.018625	0.044625	Apiotrichum	Environmental
TS-009	23 °C	T2	2	PD	Apiotrichum porosum	0.3374375	0.2254375	0.4274375	Apiotrichum	Environmental
TS-009	23 °C	T3	3	PD	Apiotrichum porosum	0.7416875	0.7161875	0.7881875	Apiotrichum	Environmental
TS-009	23 °C	T4	4	PD	Apiotrichum porosum	0.9034375	0.8774375	0.9364375	Apiotrichum	Environmental
TS-009	23 °C	T5	5	PD	Apiotrichum porosum	1.0273125	1.0028125	1.0538125	Apiotrichum	Environmental
TS-009	23 °C	T6	6	PD	Apiotrichum porosum	1.0878125	1.0660625	1.1060625	Apiotrichum	Environmental
TS-009	23 °C	T7	7	PD	Apiotrichum porosum	1.1393125	1.1325625	1.1465625	Apiotrichum	Environmental
TS-009	28 °C	T0	0	PD	Apiotrichum porosum	0	-0.0048125	-0.0008125	Apiotrichum	Environmental
TS-009	28 °C	T1	1	PD	Apiotrichum porosum	0.012375	0.000875	0.023875	Apiotrichum	Environmental
TS-009	28 °C	T2	2	PD	Apiotrichum porosum	0.003625	0.002375	0.005375	Apiotrichum	Environmental
TS-009	28 °C	T3	3	PD	Apiotrichum porosum	0.0020625	-0.0001875	0.0058125	Apiotrichum	Environmental
TS-009	28 °C	T4	4	PD	Apiotrichum porosum	0	-0.0109375	0.0020625	Apiotrichum	Environmental
TS-009	28 °C	T5	5	PD	Apiotrichum porosum	0	-0.008625	-0.000625	Apiotrichum	Environmental
TS-009	28 °C	T6	6	PD	Apiotrichum porosum	0	-0.0475	0.0195	Apiotrichum	Environmental
TS-009	28 °C	T7	7	PD	Apiotrichum porosum	0.0035625	-0.0086875	0.0253125	Apiotrichum	Environmental
TS-009	33 °C	T0	0	PD	Apiotrichum porosum	0	-0.0085625	0.0014375	Apiotrichum	Environmental
TS-009	33 °C	T1	1	PD	Apiotrichum porosum	0	-0.0258125	0.0211875	Apiotrichum	Environmental
TS-009	33 °C	T2	2	PD	Apiotrichum porosum	0	-0.0094375	0.0025625	Apiotrichum	Environmental
TS-009	33 °C	T3	3	PD	Apiotrichum porosum	0.00375	-0.01225	0.02075	Apiotrichum	Environmental
TS-009	33 °C	T4	4	PD	Apiotrichum porosum	0.01275	-0.00975	0.06625	Apiotrichum	Environmental
TS-009	33 °C	T5	5	PD	Apiotrichum porosum	0	-0.07875	-0.00075	Apiotrichum	Environmental
TS-009	33 °C	T6	6	PD	Apiotrichum porosum	0	-0.0734375	0.0055625	Apiotrichum	Environmental
TS-009	33 °C	T7	7	PD	Apiotrichum porosum	0	-0.0345625	0.0034375	Apiotrichum	Environmental
TS-009	37 °C	T0	0	PD	Apiotrichum porosum	0	-0.0053125	-0.0003125	Apiotrichum	Environmental
TS-009	37 °C	T1	1	PD	Apiotrichum porosum	0.0090625	0.0015625	0.0155625	Apiotrichum	Environmental
TS-009	37 °C	T2	2	PD	Apiotrichum porosum	0.0094375	-0.0040625	0.0179375	Apiotrichum	Environmental
TS-009	37 °C	T3	3	PD	Apiotrichum porosum	0.0130625	-0.0074375	0.0245625	Apiotrichum	Environmental
TS-009	37 °C	T4	4	PD	Apiotrichum porosum	0.0131875	-0.0020625	0.0289375	Apiotrichum	Environmental
TS-009	37 °C	T5	5	PD	Apiotrichum porosum	0.0155625	-0.0036875	0.0323125	Apiotrichum	Environmental
TS-009	37 °C	T6	6	PD	Apiotrichum porosum	0.0193125	-0.0046875	0.0303125	Apiotrichum	Environmental
TS-009	37 °C	T7	7	PD	Apiotrichum porosum	0.025375	0.006875	0.039875	Apiotrichum	Environmental
TS-010	18 °C	T0	0	PD	Cutaneotrichosporon cutaneum	0.00525	0.0015	0.0095	Cutaneotrichosporon	Clinical
TS-010	18 °C	T1	1	PD	Cutaneotrichosporon cutaneum	0	-0.002875	0.000125	Cutaneotrichosporon	Clinical
TS-010	18 °C	T2	2	PD	Cutaneotrichosporon cutaneum	0.0045625	-0.0019375	0.0110625	Cutaneotrichosporon	Clinical
TS-010	18 °C	T3	3	PD	Cutaneotrichosporon cutaneum	0.099875	0.045875	0.150875	Cutaneotrichosporon	Clinical
TS-010	18 °C	T4	4	PD	Cutaneotrichosporon cutaneum	0.218875	0.117375	0.327375	Cutaneotrichosporon	Clinical
TS-010	18 °C	T5	5	PD	Cutaneotrichosporon cutaneum	0.5024375	0.2044375	0.8804375	Cutaneotrichosporon	Clinical
TS-010	18 °C	T6	6	PD	Cutaneotrichosporon cutaneum	0.600625	0.298125	1.112125	Cutaneotrichosporon	Clinical
TS-010	18 °C	T7	7	PD	Cutaneotrichosporon cutaneum	0.7005	0.438	1.225	Cutaneotrichosporon	Clinical
TS-010	23 °C	T0	0	PD	Cutaneotrichosporon cutaneum	0.0115625	0.0090625	0.0170625	Cutaneotrichosporon	Clinical
TS-010	23 °C	T1	1	PD	Cutaneotrichosporon cutaneum	0.008125	0.005625	0.011625	Cutaneotrichosporon	Clinical
TS-010	23 °C	T2	2	PD	Cutaneotrichosporon cutaneum	0.0916875	0.0824375	0.1014375	Cutaneotrichosporon	Clinical
TS-010	23 °C	T3	3	PD	Cutaneotrichosporon cutaneum	0.2591875	0.2271875	0.2841875	Cutaneotrichosporon	Clinical
TS-010	23 °C	T4	4	PD	Cutaneotrichosporon cutaneum	0.4231875	0.3684375	0.4434375	Cutaneotrichosporon	Clinical
TS-010	23 °C	T5	5	PD	Cutaneotrichosporon cutaneum	0.5825625	0.5258125	0.6218125	Cutaneotrichosporon	Clinical
TS-010	23 °C	T6	6	PD	Cutaneotrichosporon cutaneum	0.7415625	0.6160625	0.9200625	Cutaneotrichosporon	Clinical
TS-010	23 °C	T7	7	PD	Cutaneotrichosporon cutaneum	0.7875625	0.7155625	0.8265625	Cutaneotrichosporon	Clinical
TS-010	28 °C	T0	0	PD	Cutaneotrichosporon cutaneum	0.0056875	0.0021875	0.0091875	Cutaneotrichosporon	Clinical
TS-010	28 °C	T1	1	PD	Cutaneotrichosporon cutaneum	0.004375	-0.002125	0.009875	Cutaneotrichosporon	Clinical
TS-010	28 °C	T2	2	PD	Cutaneotrichosporon cutaneum	0.150125	0.085375	0.232375	Cutaneotrichosporon	Clinical
TS-010	28 °C	T3	3	PD	Cutaneotrichosporon cutaneum	0.5323125	0.3608125	0.7168125	Cutaneotrichosporon	Clinical
TS-010	28 °C	T4	4	PD	Cutaneotrichosporon cutaneum	0.7828125	0.5680625	1.1030625	Cutaneotrichosporon	Clinical
TS-010	28 °C	T5	5	PD	Cutaneotrichosporon cutaneum	0.836625	0.704375	0.941375	Cutaneotrichosporon	Clinical
TS-010	28 °C	T6	6	PD	Cutaneotrichosporon cutaneum	1.18825	0.8545	1.4765	Cutaneotrichosporon	Clinical
TS-010	28 °C	T7	7	PD	Cutaneotrichosporon cutaneum	1.0458125	0.9013125	1.2263125	Cutaneotrichosporon	Clinical
TS-010	33 °C	T0	0	PD	Cutaneotrichosporon cutaneum	0.0011875	-0.0005625	0.0024375	Cutaneotrichosporon	Clinical
TS-010	33 °C	T1	1	PD	Cutaneotrichosporon cutaneum	0	-0.0268125	0.0021875	Cutaneotrichosporon	Clinical
TS-010	33 °C	T2	2	PD	Cutaneotrichosporon cutaneum	0.0358125	0.0145625	0.0605625	Cutaneotrichosporon	Clinical
TS-010	33 °C	T3	3	PD	Cutaneotrichosporon cutaneum	0.14325	0.09775	0.16875	Cutaneotrichosporon	Clinical
TS-010	33 °C	T4	4	PD	Cutaneotrichosporon cutaneum	0.324	0.23325	0.56525	Cutaneotrichosporon	Clinical
TS-010	33 °C	T5	5	PD	Cutaneotrichosporon cutaneum	0.5395	0.38025	0.90225	Cutaneotrichosporon	Clinical
TS-010	33 °C	T6	6	PD	Cutaneotrichosporon cutaneum	0.5065625	0.4835625	0.5195625	Cutaneotrichosporon	Clinical
